2018-11-18 13:16:57,775 INFO     Still connected to
2018-11-18 13:16:57,775 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,781 INFO     Received [reset]
2018-11-18 13:16:57,782 INFO     Still connected to
2018-11-18 13:16:57,783 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,806 INFO     Received [reset]
2018-11-18 13:16:57,807 INFO     Still connected to
2018-11-18 13:16:57,808 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,844 INFO     Received [reset]
2018-11-18 13:16:57,845 INFO     Still connected to
2018-11-18 13:16:57,845 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,846 INFO     Received [reset]
2018-11-18 13:16:57,846 INFO     Still connected to
2018-11-18 13:16:57,847 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,871 INFO     Received [reset]
2018-11-18 13:16:57,872 INFO     Still connected to
2018-11-18 13:16:57,873 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,909 INFO     Received [reset]
2018-11-18 13:16:57,910 INFO     Still connected to
2018-11-18 13:16:57,910 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,911 INFO     Received [reset]
2018-11-18 13:16:57,911 INFO     Still connected to
2018-11-18 13:16:57,912 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,943 INFO     Received [reset]
2018-11-18 13:16:57,943 INFO     Still connected to
2018-11-18 13:16:57,944 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,945 INFO     Received [reset]
2018-11-18 13:16:57,945 INFO     Still connected to
2018-11-18 13:16:57,946 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,979 INFO     Received [reset]
2018-11-18 13:16:57,980 INFO     Still connected to
2018-11-18 13:16:57,980 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,984 INFO     Received [reset]
2018-11-18 13:16:57,985 INFO     Still connected to
2018-11-18 13:16:57,985 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,016 INFO     Received [data  8.24484
-0.91790
 1.44753
]
2018-11-18 13:16:58,017 INFO     Still connected to
2018-11-18 13:16:58,018 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,019 INFO     Received [data  8.66065
-0.22192
 1.48292
]
2018-11-18 13:16:58,019 INFO     Still connected to
2018-11-18 13:16:58,020 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,050 INFO     Received [data  8.26811
 0.70222
 0.67970
]
2018-11-18 13:16:58,051 INFO     Still connected to
2018-11-18 13:16:58,052 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,058 INFO     Received [data  7.27701
 0.62912
-0.15914
]
2018-11-18 13:16:58,058 INFO     Still connected to
2018-11-18 13:16:58,059 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,083 INFO     Received [data  7.44496
 0.16833
 0.29897
]
2018-11-18 13:16:58,084 INFO     Still connected to
2018-11-18 13:16:58,084 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:58,190 INFO     Received [data  7.70983
 0.30156
 0.88381
]
